X(mm)	Y(mm)	Z(mm)	Rx(rad)	Ry(rad)	Rz(rad)	Distance(mm)
116.006	-361.013	201.999	2.34	2.00	-0.22	-38.0
116.005	-361.011	201.995	2.34	2.00	-0.22	-38.0
115.995	-361.019	202.015	2.34	2.00	-0.22	-38.0
115.996	-361.009	201.999	2.34	2.00	-0.22	-38.0
115.999	-361.009	201.990	2.34	2.00	-0.22	-38.0
115.996	-361.010	202.001	2.34	2.00	-0.22	-38.0
116.006	-361.004	201.995	2.34	2.00	-0.22	-38.0
116.000	-361.012	201.995	2.34	2.00	-0.22	-38.0
116.000	-361.004	201.993	2.34	2.00	-0.22	-38.0
116.011	-361.004	202.000	2.34	2.00	-0.22	-38.0
115.999	-361.007	201.986	2.34	2.00	-0.22	-38.0
115.999	-361.012	201.989	2.34	2.00	-0.22	-38.0
116.001	-361.007	201.993	2.34	2.00	-0.22	-38.0
116.006	-361.015	202.001	2.34	2.00	-0.22	-38.0
116.001	-361.010	201.997	2.34	2.00	-0.22	-38.0
115.999	-361.009	201.985	2.34	2.00	-0.22	-38.0
115.992	-361.018	201.989	2.34	2.00	-0.22	-38.0
115.997	-361.014	201.986	2.34	2.00	-0.22	-38.0
115.996	-361.015	201.993	2.34	2.00	-0.22	-38.0
115.996	-361.015	202.014	2.34	2.00	-0.22	-38.0
115.997	-361.013	201.995	2.34	2.00	-0.22	-38.0
116.006	-360.998	201.981	2.34	2.00	-0.22	-38.0
116.001	-361.017	201.998	2.34	2.00	-0.22	-38.0
115.999	-361.011	202.005	2.34	2.00	-0.22	-38.0
116.008	-361.009	202.006	2.34	2.00	-0.22	-38.0
115.987	-361.013	201.986	2.34	2.00	-0.22	-38.0
115.992	-361.019	202.001	2.34	2.00	-0.22	-38.0
115.993	-361.008	201.979	2.34	2.00	-0.22	-38.0
115.999	-361.010	202.008	2.34	2.00	-0.22	-38.0
115.995	-361.007	201.986	2.34	2.00	-0.22	-38.0
116.001	-361.013	201.997	2.34	2.00	-0.22	-38.0
116.001	-361.012	201.989	2.34	2.00	-0.22	-38.0
115.994	-361.010	201.990	2.34	2.00	-0.22	-40.0
115.997	-361.014	202.001	2.34	2.00	-0.22	-39.0
116.013	-361.008	201.989	2.34	2.00	-0.22	-40.0
116.002	-361.011	202.014	2.34	2.00	-0.22	-39.0
116.006	-361.005	201.988	2.34	2.00	-0.22	-39.0
115.987	-361.015	201.989	2.34	2.00	-0.22	-38.0
116.010	-361.013	201.996	2.34	2.00	-0.22	-37.0
116.003	-361.014	201.994	2.34	2.00	-0.22	-38.0
116.001	-361.009	201.991	2.34	2.00	-0.22	-39.0
116.002	-361.012	201.993	2.34	2.00	-0.22	-39.0
115.990	-361.010	201.988	2.34	2.00	-0.22	-39.0
115.997	-361.015	201.998	2.34	2.00	-0.22	-38.0
115.992	-361.008	201.992	2.34	2.00	-0.22	-40.0
115.996	-360.933	201.999	2.34	2.00	-0.22	-39.0
115.968	-360.193	202.023	2.34	2.00	-0.22	-39.0
115.951	-358.236	201.960	2.34	2.00	-0.22	-39.0
115.947	-355.279	201.961	2.34	2.00	-0.22	-40.0
115.967	-351.188	202.036	2.34	2.00	-0.22	-38.0
115.963	-346.732	201.974	2.34	2.00	-0.22	-40.0
115.972	-343.740	202.051	2.34	2.00	-0.22	-39.0
115.960	-341.731	202.043	2.34	2.00	-0.22	-39.0
115.977	-340.981	201.986	2.34	2.00	-0.22	-39.0
115.999	-341.373	202.005	2.34	2.00	-0.22	-39.0
116.039	-342.915	202.047	2.34	2.00	-0.22	-39.0
116.034	-345.774	201.996	2.34	2.00	-0.22	-39.0
116.053	-348.609	202.082	2.34	2.00	-0.22	-39.0
116.041	-350.334	201.995	2.34	2.00	-0.22	-39.0
116.017	-351.009	201.981	2.34	2.00	-0.22	-39.0
116.031	-351.457	201.938	2.34	2.00	-0.22	-39.0
116.009	-353.259	202.002	2.34	2.00	-0.22	-39.0
115.989	-356.001	202.022	2.34	2.00	-0.22	-38.0
