X(m) Y(m) Z(m)
181.145462 -262.036702 165.266002
181.144462 -262.034702 165.262002
181.134462 -262.042702 165.282002
181.135462 -262.032702 165.266002
181.138462 -262.032702 165.257002
181.135462 -262.033702 165.268002
181.145462 -262.027702 165.262002
181.139462 -262.035702 165.262002
181.139462 -262.027702 165.260002
181.150462 -262.027702 165.267002
181.138462 -262.030702 165.253002
181.138462 -262.035702 165.256002
181.140462 -262.030702 165.260002
181.145462 -262.038702 165.268002
181.140462 -262.033702 165.264002
181.138462 -262.032702 165.252002
181.131462 -262.041702 165.256002
181.136462 -262.037702 165.253002
181.135462 -262.038702 165.260002
181.135462 -262.038702 165.281002
181.136462 -262.036702 165.262002
181.145462 -262.021702 165.248002
181.140462 -262.040702 165.265002
181.138462 -262.034702 165.272002
181.147462 -262.032702 165.273002
181.126462 -262.036702 165.253002
181.131462 -262.042702 165.268002
181.132462 -262.031702 165.246002
181.138462 -262.033702 165.275002
181.134462 -262.030702 165.253002
181.140462 -262.036702 165.264002
181.140462 -262.035702 165.256002
181.644197 -262.481889 163.375970
181.391829 -262.261795 164.327486
181.663197 -262.479889 163.374970
181.396829 -262.258795 164.340486
181.400829 -262.252795 164.314486
181.126462 -262.038702 165.256002
180.894094 -261.812608 166.203517
181.142462 -262.037702 165.261002
181.395829 -262.256795 164.317486
181.396829 -262.259795 164.319486
181.384829 -262.257795 164.314486
181.136462 -262.038702 165.265002
181.642197 -262.479889 163.377970
181.390829 -262.180795 164.325486
181.362829 -261.440795 164.349486
181.345829 -259.483795 164.286486
181.597197 -256.750889 163.346970
181.106462 -252.211702 165.303002
181.613197 -248.203889 163.359970
181.366829 -244.987795 164.377486
181.354829 -242.978795 164.369486
181.371829 -242.228795 164.312486
181.393829 -242.620795 164.331486
181.433829 -244.162795 164.373486
181.428829 -247.021795 164.322486
181.447829 -249.856795 164.408486
181.435829 -251.581795 164.321486
181.411829 -252.256795 164.307486
181.425829 -252.704795 164.264486
181.403829 -254.506795 164.328486
181.128462 -257.024702 165.289002
181.145462 -259.965702 165.294002
181.128462 -261.567702 165.261002
181.140462 -262.037702 165.257002
181.145462 -262.042702 165.272002
181.144462 -262.041702 165.282002
181.395829 -262.258795 164.325486
181.399829 -262.256795 164.328486
181.135462 -262.020702 165.254002
181.396829 -262.243795 164.310486
181.386829 -262.240795 164.306486
181.386829 -262.245795 164.313486
181.388829 -262.243795 164.313486
181.395829 -262.250795 164.319486
181.384829 -262.252795 164.317486
181.398829 -262.255795 164.317486
181.394829 -262.249795 164.316486
181.384829 -262.255795 164.326486
181.386829 -262.259795 164.336486
181.388829 -262.258795 164.316486
181.392829 -262.252795 164.331486
181.398829 -262.252795 164.316486
181.390829 -262.257795 164.325486
181.389829 -262.257795 164.325486
181.400829 -262.250795 164.314486
181.385829 -262.254795 164.319486
181.391829 -262.252795 164.323486
181.396829 -262.253795 164.321486
181.401829 -262.255795 164.323486
181.397829 -262.263795 164.337486
181.393829 -262.257795 164.333486
181.385829 -262.257795 164.335486
181.395829 -262.252795 164.319486
181.393829 -262.254795 164.329486
181.391829 -262.258795 164.327486
181.392829 -262.262795 164.330486
181.380829 -262.262795 164.324486
181.393829 -262.254795 164.312486
181.371829 -262.259795 164.320486
181.385829 -262.260795 164.337486
181.394829 -262.252795 164.320486
181.395829 -262.257795 164.327486
181.387829 -262.259795 164.334486
181.393829 -262.257795 164.323486
181.385829 -262.259795 164.322486
181.392829 -262.255795 164.317486
181.376829 -262.264795 164.320486
181.388829 -262.255795 164.318486
181.388829 -262.259795 164.316486
181.399829 -262.254795 164.326486
181.390829 -262.256795 164.335486
181.386829 -262.259795 164.322486
181.387829 -262.259795 164.327486
181.381829 -262.255795 164.318486
181.387829 -262.247795 164.326486
181.384829 -262.261795 164.330486
181.366829 -262.264795 164.335486
181.376829 -262.258795 164.310486
181.373829 -262.260795 164.327486
181.372829 -262.259795 164.315486
181.385829 -262.251795 164.314486
181.375829 -262.257795 164.314486
181.372829 -262.260795 164.322486
181.373829 -262.256795 164.305486
181.376829 -262.257795 164.313486
181.387829 -262.263795 164.316486
181.365829 -262.265795 164.325486
181.381829 -262.255795 164.324486
181.365829 -262.259795 164.316486
181.366829 -262.261795 164.327486
181.383829 -262.260795 164.332486
181.358829 -262.267795 164.321486
181.378829 -262.263795 164.334486
181.366829 -262.264795 164.335486
181.377829 -262.264795 164.319486
181.379829 -262.261795 164.331486
181.372829 -262.259795 164.320486
181.374829 -262.268795 164.320486
181.380829 -262.254795 164.305486
181.383829 -262.255795 164.318486
181.373829 -262.261795 164.317486
181.359829 -262.265795 164.323486
181.381829 -262.258795 164.317486
181.377829 -262.264795 164.335486
181.376829 -262.266795 164.333486
181.381829 -262.256795 164.315486
181.369829 -262.262795 164.323486
181.362829 -262.268795 164.324486
181.362829 -262.264795 164.319486
181.368829 -262.270795 164.341486
181.368829 -262.267795 164.325486
181.369829 -262.259795 164.318486
181.378829 -262.256795 164.318486
181.376829 -262.259795 164.323486
181.366829 -262.267795 164.331486
181.377829 -262.259795 164.333486
181.376829 -262.262795 164.322486
181.388829 -262.260795 164.333486
181.368829 -262.255795 164.317486
181.364829 -262.258795 164.315486
181.374829 -262.264795 164.327486
181.370829 -262.261795 164.319486
181.376829 -262.261795 164.314486
181.363829 -262.268795 164.325486
181.368829 -262.264795 164.332486
181.360829 -262.268795 164.323486
181.363829 -262.261795 164.308486
181.370829 -262.257795 164.323486
181.366829 -262.257795 164.320486
181.366829 -262.264795 164.325486
181.365829 -262.256795 164.317486
181.373829 -262.261795 164.326486
181.378829 -262.265795 164.342486
181.371829 -262.261795 164.329486
181.374829 -262.259795 164.308486
181.364829 -262.259795 164.315486
181.380829 -262.256795 164.324486
181.378829 -262.257795 164.315486
181.376829 -262.254795 164.321486
181.379829 -262.259795 164.320486
181.379829 -262.259795 164.323486
181.377829 -262.259795 164.323486
181.379829 -262.260795 164.318486
181.372829 -262.260795 164.327486
181.356829 -262.264795 164.324486
181.366829 -262.262795 164.313486
181.372829 -262.258795 164.319486
181.365829 -262.264795 164.318486
181.363829 -262.264795 164.324486
181.368829 -262.257795 164.304486
181.385829 -262.260795 164.334486
181.376829 -262.260795 164.314486
181.366829 -262.262795 164.318486
181.382829 -262.261795 164.323486
181.379829 -262.254795 164.305486
181.366829 -262.272795 164.339486
181.375829 -262.269795 164.343486
181.366829 -262.257795 164.310486
181.377829 -262.260795 164.330486
181.374829 -262.261795 164.323486
